Global_Mine_ID,Mining_Type,Longitude,Latitude,NASA_AGB_t_ha,NASA_Carbon_Stock_t_C_ha
AUS_BowenBasin,Opencast,148.1036424834683,-21.798372524248833,22.43,10.54
CHN_InnerMongolia,Opencast,110.00496160944996,39.50270705055703,7.84,3.68
RSA_Mpumalanga,Opencast,29.40282854164793,-25.999765345501462,7.49,3.52
USA_PowderRiver,Opencast,-105.30026050068498,43.70332607397068,7.98,3.75
AUS_Illawarra,Underground,150.7983261143836,-34.40462747553752,459.32,215.88
CHN_Shanxi,Underground,112.89656442877833,36.60057606002428,15.59,7.33
